"province_name","city_name","district_name","jt_province_name","jt_city_name","jt_city_code","jt_district_name","jt_area_code","wc_state_code"
"ACEH","KAB. ACEH BARAT","JOHAN PAHLAWAN","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","JOHAN PAHLAWAN","MEH001","AC"
"ACEH","KAB. ACEH BARAT","KAWAY XVI","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","KAWAY XVI","MEH004","AC"
"ACEH","KAB. ACEH BARAT","SUNGAI MAS","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","SUNGAI MAS","MEH009","AC"
"ACEH","KAB. ACEH BARAT","WOYLA","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","WOYLA","MEH010","AC"
"ACEH","KAB. ACEH BARAT","SAMATIGA","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","SAMATIGA","MEH008","AC"
"ACEH","KAB. ACEH BARAT","BUBON","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","BUBON","MEH003","AC"
"ACEH","KAB. ACEH BARAT","ARONGAN LAMBALEK","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","ARONGAN LAMBALEK","MEH002","AC"
"ACEH","KAB. ACEH BARAT","PANTE CEUREUMEN","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","PANTAI CEUREMEN","MEH006","AC"
"ACEH","KAB. ACEH BARAT","MEUREUBO","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","MEUREUBO","MEH005","AC"
"ACEH","KAB. ACEH BARAT","WOYLA BARAT","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","WOYLA BARAT","MEH011","AC"
"ACEH","KAB. ACEH BARAT","WOYLA TIMUR","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","WOYLA TIMUR","MEH012","AC"
"ACEH","KAB. ACEH BARAT","PANTON REU","NANGGROE ACEH DARUSSALAM","MEULABOH","MEH","PANTON REU","MEH007","AC"
"ACEH","KAB. ACEH BARAT DAYA","BLANG PIDIE","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","BLANG PIDIE","BLP002","AC"
"ACEH","KAB. ACEH BARAT DAYA","TANGAN-TANGAN","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","TANGAN-TANGAN","BLP009","AC"
"ACEH","KAB. ACEH BARAT DAYA","MANGGENG","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","MANGGENG","BLP006","AC"
"ACEH","KAB. ACEH BARAT DAYA","SUSOH","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","SUSOH","BLP008","AC"
"ACEH","KAB. ACEH BARAT DAYA","KUALA BATEE","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","KUALA BATEE","BLP004","AC"
"ACEH","KAB. ACEH BARAT DAYA","BABAH ROT","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","BABAH ROT","BLP001","AC"
"ACEH","KAB. ACEH BARAT DAYA","SETIA","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","SETIA","BLP007","AC"
"ACEH","KAB. ACEH BARAT DAYA","JEUMPA","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","JEUMPA-BLP","BLP003","AC"
"ACEH","KAB. ACEH BARAT DAYA","LEMBAH SABIL","NANGGROE ACEH DARUSSALAM","ACEH BARAT DAYA","BLP","LEMBAH SABIL","BLP005","AC"
"ACEH","KAB. ACEH BESAR","LHOONG","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","LHOONG","JTO002","AC"
"ACEH","KAB. ACEH BESAR","LHOKNGA","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","LHO NGA","JTO003","AC"
"ACEH","KAB. ACEH BESAR","INDRAPURI","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","INDRAPURI","JTO005","AC"
"ACEH","KAB. ACEH BESAR","SEULIMEUM","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","SEULIMUM","JTO007","AC"
"ACEH","KAB. ACEH BESAR","MONTASIK","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","MONTASIK","JTO009","AC"
"ACEH","KAB. ACEH BESAR","SUKAMAKMUR","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","SUKA MAKMUR","JTO012","AC"
"ACEH","KAB. ACEH BESAR","DARUL IMARAH","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","DARUL IMARAH","JTO015","AC"
"ACEH","KAB. ACEH BESAR","PEUKAN BADA","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","PEUKAN BADA","JTO017","AC"
"ACEH","KAB. ACEH BESAR","MESJID RAYA","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","MESJID RAYA","JTO008","AC"
"ACEH","KAB. ACEH BESAR","INGIN JAYA","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","INGIN JAYA","JTO010","AC"
"ACEH","KAB. ACEH BESAR","KUTA BARO","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","KUTA BARO","JTO021","AC"
"ACEH","KAB. ACEH BESAR","DARUSSALAM","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","DARUSSALAM","JTO019","AC"
"ACEH","KAB. ACEH BESAR","PULO ACEH","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","PULO ACEH","JTO018","AC"
"ACEH","KAB. ACEH BESAR","LEMBAH SEULAWAH","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","LEMBAH SEULAWAH","JTO023","AC"
"ACEH","KAB. ACEH BESAR","KOTA JANTHO","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","JANTHO","JTO001","AC"
"ACEH","KAB. ACEH BESAR","KOTA COT GLIE","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","KUTA COT GLIE","JTO006","AC"
"ACEH","KAB. ACEH BESAR","KUTA MALAKA","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","KUTA MALAKA","JTO013","AC"
"ACEH","KAB. ACEH BESAR","SIMPANG TIGA","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","SIMPANG TIGA-JTO","JTO014","AC"
"ACEH","KAB. ACEH BESAR","DARUL KAMAL","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","DARUL KAMAL","JTO016","AC"
"ACEH","KAB. ACEH BESAR","BAITUSSALAM","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","BAITUSSALAM","JTO020","AC"
"ACEH","KAB. ACEH BESAR","KRUENG BARONA JAYA","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","KRUENG BARONA JAYA","JTO011","AC"
"ACEH","KAB. ACEH BESAR","LEUPUNG","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","LEUPUNG","JTO004","AC"
"ACEH","KAB. ACEH BESAR","BLANG BINTANG","NANGGROE ACEH DARUSSALAM","JANTHO","JTO","BLANG BINTANG","JTO022","AC"
"ACEH","KAB. ACEH JAYA","TEUNOM","NANGGROE ACEH DARUSSALAM","CALANG","CLG","TEUNOM","CLG006","AC"
"ACEH","KAB. ACEH JAYA","KRUENG SABEE","NANGGROE ACEH DARUSSALAM","CALANG","CLG","KRUENG SABEE","CLG003","AC"
"ACEH","KAB. ACEH JAYA","SETIA BHAKTI","NANGGROE ACEH DARUSSALAM","CALANG","CLG","SETIA BAKTI","CLG005","AC"
"ACEH","KAB. ACEH JAYA","SAMPOINIET","NANGGROE ACEH DARUSSALAM","CALANG","CLG","SAMPOINIET","CLG004","AC"
"ACEH","KAB. ACEH JAYA","JAYA","NANGGROE ACEH DARUSSALAM","CALANG","CLG","JAYA","CLG001","AC"
"ACEH","KAB. ACEH JAYA","PANGA","NANGGROE ACEH DARUSSALAM","CALANG","CLG","KEUDE PANGA","CLG002","AC"
"ACEH","KAB. ACEH JAYA","INDRA JAYA","NANGGROE ACEH DARUSSALAM","CALANG","CLG","INDRA JAYA","CLG008","AC"
